epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.003,2.53234,5.12097,1.90466,0.15371,0.05,0.03569,0.01091,2.56155,4.35657,2.03588,0.000665577,0.000665577,0.000665577
2,227.526,2.60297,3.80164,1.97994,0.16684,0.10484,0.0656,0.01982,2.74774,3.64088,2.35055,0.00129927,0.00129927,0.00129927
3,346.184,2.58367,3.43869,2.01662,0.19435,0.08548,0.06427,0.02119,2.61582,3.39608,2.29409,0.00189996,0.00189996,0.00189996
4,475.77,2.55728,3.21111,1.97046,0.26071,0.13226,0.1113,0.03373,2.51835,2.98721,2.14595,0.0018515,0.0018515,0.0018515
5,594.764,2.53427,3.15419,1.95328,0.17506,0.19516,0.11065,0.03939,2.45349,3.02087,2.04128,0.001802,0.001802,0.001802
6,710.163,2.55924,3.03334,1.95335,0.243,0.16613,0.11006,0.03794,2.42427,2.88617,2.09642,0.0017525,0.0017525,0.0017525
7,814.753,2.42971,2.91593,1.87124,0.2728,0.14032,0.11509,0.0402,2.55356,2.94018,2.01069,0.001703,0.001703,0.001703
8,910.622,2.46458,2.95553,1.87835,0.27432,0.17742,0.15575,0.05124,2.4273,2.71763,2.00009,0.0016535,0.0016535,0.0016535
9,1006.74,2.41131,2.87428,1.88827,0.2037,0.22419,0.13684,0.04621,2.4134,2.77264,2.09853,0.001604,0.001604,0.001604
10,1099.04,2.42668,2.84314,1.89085,0.2089,0.19038,0.12987,0.04542,2.37256,2.62885,2.02313,0.0015545,0.0015545,0.0015545
11,1192.3,2.33226,2.78528,1.83756,0.21592,0.21129,0.15374,0.05374,2.33049,2.60917,2.05289,0.001505,0.001505,0.001505
12,1285.26,2.34689,2.76398,1.8546,0.26279,0.21935,0.18318,0.06714,2.34666,2.52542,2.00064,0.0014555,0.0014555,0.0014555
13,1391.32,2.30895,2.64979,1.81575,0.29801,0.22258,0.18752,0.06637,2.29959,2.58418,1.96563,0.001406,0.001406,0.001406
14,1487.21,2.3288,2.66337,1.82591,0.28485,0.25645,0.22067,0.08188,2.26838,2.45556,1.91493,0.0013565,0.0013565,0.0013565
15,1580.55,2.27258,2.65143,1.76662,0.31003,0.21452,0.19178,0.0655,2.26642,2.6274,1.90859,0.001307,0.001307,0.001307
16,1674.64,2.23548,2.60763,1.765,0.29332,0.22097,0.17755,0.0594,2.3268,2.56071,1.89861,0.0012575,0.0012575,0.0012575
17,1758.74,2.26084,2.666,1.73644,0.25898,0.28871,0.20364,0.07113,2.19301,2.47366,1.86756,0.001208,0.001208,0.001208
18,1832.64,2.24742,2.58563,1.74539,0.28669,0.26452,0.2105,0.07513,2.2327,2.43765,1.9004,0.0011585,0.0011585,0.0011585
19,1955.38,2.24165,2.59548,1.74639,0.28337,0.28226,0.20586,0.07142,2.26057,2.46449,1.91377,0.001109,0.001109,0.001109
20,2062.72,2.249,2.5591,1.71759,0.32412,0.25968,0.22167,0.07821,2.22767,2.36854,1.84082,0.0010595,0.0010595,0.0010595
21,2170.28,2.23061,2.5105,1.74132,0.32793,0.29119,0.24093,0.08495,2.25415,2.36498,1.88199,0.00101,0.00101,0.00101
22,2288.08,2.23772,2.54891,1.71734,0.31943,0.27097,0.23112,0.08278,2.16334,2.43536,1.84676,0.0009605,0.0009605,0.0009605
23,2404.26,2.22311,2.53371,1.73038,0.3108,0.27258,0.23346,0.08776,2.21404,2.38854,1.86335,0.000911,0.000911,0.000911
24,2521.23,2.19043,2.48896,1.69464,0.31557,0.29032,0.24741,0.08358,2.18879,2.35393,1.87886,0.0008615,0.0008615,0.0008615
25,2639.35,2.16869,2.41765,1.68758,0.33877,0.3008,0.25574,0.09258,2.17115,2.32116,1.83368,0.000812,0.000812,0.000812
26,2756.26,2.18742,2.45794,1.71459,0.38719,0.30484,0.28097,0.10285,2.17774,2.33138,1.82601,0.0007625,0.0007625,0.0007625
27,2875.87,2.15172,2.42861,1.68186,0.33675,0.32903,0.27858,0.10153,2.16926,2.29616,1.84409,0.000713,0.000713,0.000713
28,2994.58,2.14379,2.39095,1.65988,0.32805,0.30645,0.26447,0.09835,2.16667,2.30746,1.82832,0.0006635,0.0006635,0.0006635
29,3109.97,2.14028,2.36307,1.65828,0.38658,0.32742,0.29997,0.10883,2.11876,2.25329,1.76278,0.000614,0.000614,0.000614
30,3228.02,2.14832,2.33405,1.62504,0.31832,0.31613,0.2535,0.0879,2.13612,2.37511,1.77166,0.0005645,0.0005645,0.0005645
31,3354.48,2.05831,2.34692,1.64205,0.36168,0.32419,0.27131,0.10047,2.14122,2.24281,1.78545,0.000515,0.000515,0.000515
32,3474.09,2.01538,2.25071,1.61566,0.35929,0.30968,0.27553,0.1053,2.12826,2.24165,1.74596,0.0004655,0.0004655,0.0004655
33,3594.7,2.02024,2.2527,1.61991,0.34787,0.30645,0.27444,0.10687,2.12888,2.27643,1.73644,0.000416,0.000416,0.000416
34,3713.08,2.01032,2.23276,1.59776,0.33479,0.36854,0.27492,0.10465,2.14053,2.2255,1.77625,0.0003665,0.0003665,0.0003665
35,3832.18,1.96768,2.15931,1.57203,0.32899,0.36613,0.2952,0.10912,2.14707,2.19658,1.77947,0.000317,0.000317,0.000317
36,3952.82,1.99743,2.14834,1.57963,0.37034,0.36129,0.29785,0.11141,2.13496,2.18721,1.75145,0.0002675,0.0002675,0.0002675
37,4073.68,1.95916,2.12642,1.57003,0.38602,0.37581,0.31355,0.12102,2.09705,2.15835,1.73063,0.000218,0.000218,0.000218
38,4193.21,1.98154,2.08488,1.58623,0.37333,0.37281,0.32312,0.12099,2.10165,2.15394,1.73743,0.0001685,0.0001685,0.0001685
39,4312.94,1.95005,2.07641,1.55643,0.35779,0.35484,0.31229,0.11732,2.10606,2.19157,1.72911,0.000119,0.000119,0.000119
40,4431.9,1.94013,2.10591,1.53328,0.36606,0.36935,0.31445,0.12111,2.09408,2.1628,1.72223,6.95e-05,6.95e-05,6.95e-05
