epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1351.61,1.95028,2.01014,1.39093,0.63381,0.3256,0.31625,0.14832,1.95753,1.68718,1.46691,0.000333276,0.000333276,0.000333276
2,2161.22,1.97835,1.8548,1.44817,0.36756,0.37171,0.32296,0.1541,1.95264,1.73671,1.45484,0.000650111,0.000650111,0.000650111
3,3459.68,1.95364,1.74535,1.43217,0.45688,0.36165,0.35937,0.17216,1.89859,1.60251,1.4391,0.000950446,0.000950446,0.000950446
4,4510.74,1.91415,1.70929,1.4142,0.61813,0.38231,0.39903,0.19427,1.87849,1.51974,1.44426,0.00092575,0.00092575,0.00092575
5,5876.1,1.85979,1.60632,1.3854,0.53463,0.39931,0.42429,0.20718,1.79633,1.49103,1.38841,0.000901,0.000901,0.000901
6,7192.15,1.83139,1.55762,1.37756,0.51839,0.41581,0.42152,0.2058,1.81916,1.45868,1.40807,0.00087625,0.00087625,0.00087625
7,8506.15,1.82312,1.51048,1.37493,0.52654,0.45802,0.45576,0.22154,1.78744,1.36958,1.38533,0.0008515,0.0008515,0.0008515
8,9730.58,1.78628,1.47841,1.34933,0.50324,0.44924,0.44418,0.2232,1.77689,1.37223,1.38413,0.00082675,0.00082675,0.00082675
9,10989.7,1.77678,1.43384,1.33805,0.56604,0.45776,0.48086,0.22946,1.77,1.33851,1.36803,0.000802,0.000802,0.000802
10,12251.6,1.76513,1.43696,1.34202,0.5263,0.46777,0.47295,0.23894,1.74182,1.36048,1.34623,0.00077725,0.00077725,0.00077725
