epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.936,1.81225,2.27198,1.34057,0.72237,0.35916,0.37446,0.18703,1.76578,1.85423,1.37701,0.000333105,0.000333105,0.000333105
2,803.802,1.78394,1.72472,1.35872,0.41046,0.42154,0.4066,0.19928,1.77642,1.64911,1.3772,0.000644446,0.000644446,0.000644446
3,1179.77,1.7737,1.58202,1.3621,0.44775,0.47101,0.44115,0.21517,1.70958,1.47702,1.35468,0.000933787,0.000933787,0.000933787
4,1380.2,1.74508,1.49075,1.33303,0.49158,0.47225,0.45542,0.23251,1.68024,1.38905,1.31942,0.000901,0.000901,0.000901
5,1556.84,1.71901,1.4146,1.32178,0.5496,0.48461,0.50756,0.25598,1.65991,1.32077,1.316,0.000868,0.000868,0.000868
6,1812.53,1.69586,1.34614,1.30554,0.59807,0.48853,0.53377,0.27062,1.65785,1.29385,1.3237,0.000835,0.000835,0.000835
7,158.441,1.66917,1.30553,1.29469,0.57091,0.53157,0.54095,0.27189,1.64627,1.23406,1.31596,0.000802,0.000802,0.000802
8,350.933,1.64328,1.25986,1.28379,0.54354,0.53653,0.54883,0.28928,1.60685,1.21077,1.2966,0.000769,0.000769,0.000769
9,568.39,1.62605,1.22826,1.27689,0.64099,0.53924,0.56321,0.28255,1.62203,1.17562,1.29869,0.000736,0.000736,0.000736
10,1038.26,1.6037,1.20345,1.25768,0.58119,0.58083,0.58827,0.30075,1.59455,1.12437,1.2689,0.000703,0.000703,0.000703
11,1522.99,1.59032,1.15582,1.2466,0.64109,0.59189,0.60535,0.30724,1.58218,1.11586,1.27159,0.00067,0.00067,0.00067
12,1966.36,1.56929,1.12642,1.23454,0.61866,0.59933,0.60429,0.31581,1.5675,1.07125,1.26221,0.000637,0.000637,0.000637
13,2296.77,1.58234,1.12364,1.2432,0.66083,0.62369,0.61471,0.3228,1.54658,1.06234,1.24191,0.000604,0.000604,0.000604
14,2658.84,1.58343,1.12442,1.24845,0.69653,0.59139,0.63085,0.32701,1.54555,1.07923,1.24955,0.000571,0.000571,0.000571
15,2980.49,1.55383,1.08541,1.22883,0.71708,0.61506,0.65091,0.34442,1.53461,1.02577,1.24628,0.000538,0.000538,0.000538
16,3186.92,1.54074,1.05813,1.21852,0.67142,0.6409,0.64776,0.34212,1.52667,1.00277,1.23313,0.000505,0.000505,0.000505
17,3384.03,1.53887,1.05051,1.21775,0.70981,0.61778,0.66602,0.35157,1.53269,0.99858,1.22837,0.000472,0.000472,0.000472
18,3582.62,1.52426,1.03187,1.21638,0.74099,0.65239,0.69085,0.36663,1.51965,0.98147,1.22372,0.000439,0.000439,0.000439
19,3781.43,1.50763,1.0098,1.19815,0.73654,0.64963,0.69882,0.37368,1.50399,0.95829,1.21406,0.000406,0.000406,0.000406
20,3982.23,1.5047,0.99978,1.19974,0.71536,0.66699,0.69724,0.36621,1.5021,0.95668,1.2162,0.000373,0.000373,0.000373
21,4181.41,1.48821,0.94145,1.20294,0.68578,0.67767,0.70206,0.37544,1.49532,0.94643,1.21092,0.00034,0.00034,0.00034
22,4374.91,1.46512,0.91189,1.1919,0.72806,0.66348,0.69278,0.37795,1.49187,0.92654,1.21172,0.000307,0.000307,0.000307
23,4571.61,1.45705,0.8928,1.19002,0.74637,0.66265,0.70844,0.37835,1.48401,0.92075,1.20708,0.000274,0.000274,0.000274
24,4766.4,1.43999,0.8726,1.17858,0.72002,0.67163,0.71476,0.38146,1.4796,0.90487,1.20423,0.000241,0.000241,0.000241
25,4960.18,1.42771,0.85649,1.17725,0.75364,0.68898,0.72659,0.3929,1.47877,0.88789,1.203,0.000208,0.000208,0.000208
26,5154.88,1.41632,0.84253,1.16955,0.78031,0.68777,0.74267,0.40143,1.47676,0.87739,1.20121,0.000175,0.000175,0.000175
27,5354.32,1.40353,0.82757,1.16301,0.75932,0.68448,0.75076,0.40936,1.46681,0.87482,1.19726,0.000142,0.000142,0.000142
28,5549.09,1.39449,0.81364,1.15642,0.76201,0.70841,0.76154,0.41371,1.46851,0.86573,1.19471,0.000109,0.000109,0.000109
29,5743.15,1.38045,0.79791,1.15176,0.74685,0.71843,0.75724,0.41158,1.4626,0.85707,1.19426,7.6e-05,7.6e-05,7.6e-05
30,5938.03,1.37606,0.79211,1.14712,0.74788,0.72729,0.75821,0.41799,1.45744,0.8506,1.18781,4.3e-05,4.3e-05,4.3e-05
