epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.415,2.31879,3.57705,1.94142,0.23975,0.21113,0.14456,0.05604,2.31763,3.0512,1.9049,0.00999634,0.00333211,0.00999634,0.00333211,0.00999634,0.00333211,0.00999634,0.00333211
2,662.649,2.28804,2.93965,1.9027,0.25142,0.22528,0.1477,0.05268,2.34069,2.79211,1.90586,0.0196664,0.00655547,0.0196664,0.00655547,0.0196664,0.00655547,0.0196664,0.00655547
3,1065.05,2.36725,2.92431,1.99263,0.17183,0.14874,0.08716,0.03092,2.49392,3.03588,2.10835,0.0290065,0.00966882,0.0290065,0.00966882,0.0290065,0.00966882,0.0290065,0.00966882
4,1428.95,2.40203,2.93796,2.03044,0.22979,0.19695,0.1324,0.04536,2.37859,2.78789,2.0418,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,360.234,2.30152,2.78491,1.96355,0.24346,0.23303,0.16093,0.06029,2.27376,2.61885,1.95206,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,873.187,2.2332,2.6753,1.92486,0.27879,0.26226,0.19363,0.07612,2.19653,2.52475,1.88265,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,1265.2,2.18006,2.57411,1.87738,0.30134,0.26526,0.21417,0.08382,2.18758,2.45246,1.84641,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1675.68,2.15876,2.51726,1.85543,0.33885,0.29786,0.23926,0.09264,2.15762,2.39181,1.84197,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2079.24,2.13626,2.46172,1.82333,0.32749,0.29955,0.24041,0.09917,2.1069,2.35495,1.78906,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,2472.53,2.11035,2.4263,1.80983,0.36334,0.30101,0.25824,0.1034,2.08505,2.30868,1.75742,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,2859.06,2.0898,2.38895,1.79664,0.37236,0.31348,0.26896,0.10953,2.06982,2.30397,1.77287,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,3241.25,2.06399,2.33837,1.77727,0.35534,0.3244,0.27028,0.11272,2.05287,2.25611,1.74622,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,3621.1,2.05558,2.3279,1.75761,0.41589,0.34563,0.31118,0.13018,2.02408,2.16731,1.71892,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,3996.31,2.03288,2.28908,1.74123,0.37318,0.3374,0.30012,0.1253,2.01591,2.1781,1.70546,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,4373.7,2.02771,2.27318,1.74242,0.39339,0.3389,0.30007,0.13,2.01775,2.1583,1.70955,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,4748.25,2.00952,2.2432,1.72085,0.42536,0.35485,0.32488,0.1356,1.99201,2.13719,1.69178,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
